dataset,rep,term,beta_ij,vertex_gap_fitted,predicts_interior_optimum
santander,15,gnb*xgb,0.019696044997246642,0.006112620131615287,True
santander,15,knn*rf,0.20228584588804166,0.09528439520058318,True
santander,15,knn*xgb,0.23484756665272907,0.1262299600659138,True
santander,15,rf*xgb,0.05502316075937097,0.03094556486533062,True
santander,16,lr*gnb,0.018086078162680264,0.02860469608853089,False
santander,16,lr*knn,0.19473277435531045,0.10027770167655703,True
santander,16,lr*rf,0.08912866047418622,0.006583382581626496,True
santander,16,lr*xgb,0.04337073164798744,0.023563877669675937,True
santander,16,gnb*knn,0.2414015912662011,0.12888239776508792,True
santander,16,gnb*rf,0.0728016845370153,0.035188078670157386,True
santander,16,gnb*xgb,0.02027313512496498,0.005040818418854953,True
santander,16,knn*rf,0.19992400195905824,0.09369431909493053,True
santander,16,knn*xgb,0.2314675221624186,0.12384157934623297,True
santander,16,rf*xgb,0.054721964958611036,0.030147260251302432,True
santander,17,lr*gnb,0.01861756770430295,0.0287746909423906,False
santander,17,lr*knn,0.20123724854567265,0.10431438732567722,True
santander,17,lr*rf,0.09069135959148633,0.006934260158201866,True
santander,17,lr*xgb,0.04418129398276993,0.021834433707633938,True
santander,17,gnb*knn,0.2487649148265385,0.13308907826806782,True
santander,17,gnb*rf,0.07399382979972557,0.03570895110059247,True
santander,17,gnb*xgb,0.02099809451226564,0.006940257234756664,True
santander,17,knn*rf,0.20377511776591972,0.09738012716747535,True
santander,17,knn*xgb,0.23659188191783243,0.12614882103331115,True
santander,17,rf*xgb,0.05405571324585923,0.028768693865835804,True
santander,18,lr*gnb,0.018376054071151116,0.028510434861265366,False
santander,18,lr*knn,0.19907032642055983,0.10197126243999333,True
santander,18,lr*rf,0.09219580937701022,0.008151989978423813,True
santander,18,lr*xgb,0.044605211616027374,0.021562674430133932,True
santander,18,gnb*knn,0.24488508944634635,0.1304816973012587,True
santander,18,gnb*rf,0.07513919628889176,0.03666242483968918,True
santander,18,gnb*xgb,0.021530586160319554,0.006947760431131433,True
santander,18,knn*rf,0.20090254577677413,0.09381927246156951,True
santander,18,knn*xgb,0.23158793071856854,0.12353393687012726,True
santander,18,rf*xgb,0.05439397376864186,0.029714664408557745,True
santander,19,lr*gnb,0.017898750568898558,0.028532011544467828,False
santander,19,lr*knn,0.19610502489139642,0.10111865728923353,True
santander,19,lr*rf,0.09219075845331237,0.008860934100641704,True
santander,19,lr*xgb,0.04254275910349947,0.02282267721504927,True
santander,19,gnb*knn,0.24388563722087753,0.12965066883370135,True
santander,19,gnb*rf,0.07630975579189159,0.03739294564510953,True
santander,19,gnb*xgb,0.020797474195998422,0.005709334329418558,True
santander,19,knn*rf,0.1976698184697414,0.09225772318859182,True
santander,19,knn*xgb,0.2324663620203225,0.1239413345042828,True
santander,19,rf*xgb,0.05666372642929618,0.031683611315690974,True
santander,20,lr*gnb,0.01884079913899117,0.028373542107289262,False
santander,20,lr*knn,0.20016055295848006,0.10299497991967954,True
santander,20,lr*rf,0.09359352700305901,0.008620727821088359,True
santander,20,lr*xgb,0.044406503705024525,0.02239605793874966,True
santander,20,gnb*knn,0.24664986587097726,0.1313685220269688,True
santander,20,gnb*rf,0.07736021541441618,0.03699426992837762,True
santander,20,gnb*xgb,0.021695626514490862,0.005977484168539604,True
santander,20,knn*rf,0.20076548723083754,0.09437425209859118,True
santander,20,knn*xgb,0.23324525992195516,0.1253910378584292,True
santander,20,rf*xgb,0.05521662278152606,0.031016785759838017,True
santander,21,lr*gnb,0.01894148517372296,0.02800719576481403,False
santander,21,lr*knn,0.19448111978953675,0.09976532552931272,True
santander,21,lr*rf,0.09417000441247292,0.008913682485857999,True
santander,21,lr*xgb,0.04402897274886808,0.022204066707240178,True
santander,21,gnb*knn,0.23960761575363598,0.12777252129412675,True
