Metric,Factor1,Factor2,Factor3
Accuracy_Mean,0.08350025278760372,0.0010011141727678953,0.7788638923183129
Precision_Mean,0.6867248487459305,-0.010107034782742096,-0.0038278478679418374
Recall_Mean,-0.12986003722012762,-0.0017640657342650528,0.6266127495146971
Specificity_Mean,0.7103330614198943,0.009260752757886643,0.026699164626738284
Time_MeanFold,4.9862934246427566e-05,0.9999039814645986,3.9715658260385675e-05
