Term,Coef
Intercept,-0.4100010811653677
subsample,0.8860149836679978
colsample_bytree,1.3720184580475085
learning_rate,-1.0168962420794347
max_depth,-0.013149926279825693
gamma,-9.938289525437873e-05
n_estimators,0.0006959288773289627
subsample*subsample,-0.8853410427338257
colsample_bytree*colsample_bytree,-0.9296493295721373
subsample*colsample_bytree,0.1940658259847926
subsample*learning_rate,1.8435414270242343
colsample_bytree*max_depth,0.015576901284503756
colsample_bytree*gamma,-0.061501296084217394
colsample_bytree*n_estimators,-0.0003404979429354415
learning_rate*max_depth,-0.05054117004298269
learning_rate*gamma,0.21941075338582236
learning_rate*n_estimators,-0.0027507450588390705
max_depth*gamma,0.0031060923732723336
