,F1,F2,F3
Accuracy_Mean,0.7764210083898693,-0.18005244886359434,0.5848634754616743
Precision_Mean,0.5816139414144057,-0.1338891623273125,0.47345581091687833
Recall_Mean,0.8610280257953197,-0.21626863982462008,0.44437069493021897
Specificity_Mean,-0.9275093709927319,0.2617848867896819,-0.12415258243459061
RocAuc_Mean,0.30137945685359435,-0.4340920583617182,0.7909133836976601
LogLoss_Mean,0.28185486370687135,-0.020704375123929128,0.9346851129390481
Leaves_Mean,-0.2420715181002231,0.9513862026222651,-0.12958706983263432
