,F1,F2,F3
Accuracy_Mean,0.7312023377539512,0.6073237306725211,-0.23531810140754078
Precision_Mean,0.6362404950449525,0.4262920902578622,-0.014906599906209916
Recall_Mean,0.8664373490936553,0.34282110328421633,-0.31566238256237056
Specificity_Mean,-0.8943133635151244,-0.12078059187540525,0.3485884475787975
RocAuc_Mean,0.34886371682490697,0.5946151887700181,-0.6143060742838086
LogLoss_Mean,0.22496462795193028,0.9429617658113425,-0.09078057941442552
Leaves_Mean,-0.29758064990486,-0.07761563624194172,0.8925166765544824
