,F1,F2,F3
Accuracy_Mean,0.8944808898452855,-0.3481872264968755,0.17897713182383254
Precision_Mean,0.10823459019545555,-0.09383403013263314,0.9876855988187495
Recall_Mean,0.9170842640617831,-0.310632254290257,0.16618250310289873
Specificity_Mean,-0.9218872452370585,-0.14499025992158615,0.0037720082651990375
RocAuc_Mean,0.5844965854243042,-0.7089358107658665,0.05082432073360367
LogLoss_Mean,0.8852759468231497,-0.3917146715304551,0.05462576043767161
Leaves_Mean,-0.12908541256324482,0.8975058255940038,-0.13436685797866685
