,F1,F2,F3
Accuracy_Mean,0.8615064615675719,-0.43343708173176493,-0.19611900204752786
Precision_Mean,-0.04710518247256233,0.9647289781870061,0.02403224872929752
Recall_Mean,0.7499743134289698,-0.6141222711295088,-0.19988943176711124
Specificity_Mean,-0.16657571144633357,0.954533287296149,0.14514125910852385
RocAuc_Mean,0.932823193868379,-0.017642116697544265,-0.1605130153121886
LogLoss_Mean,0.8979842600798992,0.04876028948805036,0.061253511019816104
Leaves_Mean,-0.13267506900796205,0.1146614053713637,0.9782483294906396
